"","s0","variables"
"GrLivAreaT",0.304934988281362,"GrLivAreaT"
"OverallQualT",0.205376139430342,"OverallQualT"
"YearBuiltT",0.15700759445539,"YearBuiltT"
"FinBsmtCode",0.156226138753024,"FinBsmtCode"
"NeighbKitchenInt",0.150927101984324,"NeighbKitchenInt"
"OverallCondT",0.132938186221799,"OverallCondT"
"NeighbExtQuInt",0.126803190884335,"NeighbExtQuInt"
"LotAreaT",0.102056900791984,"LotAreaT"
"GarageCars",0.0997514092948835,"GarageCars"
"UnFinBsmtCode",0.0635984523792903,"UnFinBsmtCode"
"X1stFlrSFT",0.0630195600779118,"X1stFlrSFT"
"NeighbBathInt",0.0628561564086732,"NeighbBathInt"
"Fireplaces",0.0588589353914934,"Fireplaces"
"CentralAirCode",0.0431376153870521,"CentralAirCode"
"HeatingQCCode",0.0304484579097315,"HeatingQCCode"
"YearRemodAddT",0.0284542573026038,"YearRemodAddT"
"PavedDriveCode",0.0233305540990441,"PavedDriveCode"
"SaleConditionCode",0.0225249600814726,"SaleConditionCode"
"NeighbMSVnrInt",0.0177913234145646,"NeighbMSVnrInt"
"MSZoningCode",0.0177386490071539,"MSZoningCode"
"PorchCode",0.016792714701972,"PorchCode"
"Neighb1stFlrSFInt",0.0148575940130597,"Neighb1stFlrSFInt"
"BldgTypeCode",0.0143684903621676,"BldgTypeCode"
"GarageCode",0.00561696109127375,"GarageCode"
"BathTot",0.00196546118087769,"BathTot"
"(Intercept)",-7.08446912174545e-16,"(Intercept)"
"KitchenQualCode",-0.00115772210379988,"KitchenQualCode"
"NeighbPorchInt",-0.0117953290914917,"NeighbPorchInt"
"ExterQualCode",-0.0213390343407198,"ExterQualCode"
"MSVnrCode",-0.0310581160335049,"MSVnrCode"
"X2ndFlrCode",-0.0464259314313055,"X2ndFlrCode"
"NeighborhoodCode",-0.133274236549721,"NeighborhoodCode"
